,ID,DeviceSerial,Vin,MessageType,ReportType,MsgNum,TripState,ReceivedTimestamp,Latitude,Longitude,MessageXML,ProcessedTimestamp,IsProcessed,CollectionTimestamp,ManufacturerSerial
14247,927092612,1088217018,,IOState,,2082,,2019-01-03 18:50:30.860,,,"<IOState ReportType=""N/A"" DeviceSerial=""1088217018"" MsgNum=""2082"" TripState=""N/A"" VIN="""" Latitude="""" Longitude=""""><IOStateData><A2D>0</A2D><TimeStamp>2019-01-03T13:50:02</TimeStamp><Speed /><ATModeVibrationState /><Course /><TotalDistance /><GpsType /><Diagnostic>1</Diagnostic><DryInput id=""1"">0</DryInput><DryInput id=""2"">0</DryInput><DryInput id=""5"">0</DryInput><DryInput id=""6"">0</DryInput><OutputState id=""1"">0</OutputState></IOStateData></IOState>",,0,2019-01-03 18:50:30.860,816807
14248,927092617,1088217018,4V4MC9EH5CN542671,J1939,Current State,2085,Engine On,2019-01-03 18:50:31.063,,,"<JBus ReportType=""Current State"" DeviceSerial=""1088217018"" MsgNum=""2085"" TripState=""Engine On"" VIN=""4V4MC9EH5CN542671"" Latitude="""" Longitude=""""><JBusData><TotalDistanceInMiles>221821</TotalDistanceInMiles><Speed>0</Speed><EngineSpeed>600</EngineSpeed><EngineLoad>37</EngineLoad><EngineOnTime>0</EngineOnTime><IdleTime>0</IdleTime><FuelLevPrimary>64</FuelLevPrimary><PBrkState>1</PBrkState><IdleTimeSinceEngOn>0</IdleTimeSinceEngOn></JBusData></JBus>",,0,2019-01-03 18:50:31.063,816807
14277,927093047,1088217018,,GPS,ServiceStart,4593,,2019-01-03 18:50:54.360,44.3788948059082,-79.7163772583008,"<GPSData ReportType=""ServiceStart"" DeviceSerial=""1088217018"" MsgNum=""4593"" TripState=""N/A"" VIN="""" Latitude=""44.37889"" Longitude=""-79.71638""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>168.9</Course><GPSMessageNumber /><Speed>0.18529999774694442</Speed><CollectionTimestamp>2019-01-03T18:51:02</CollectionTimestamp><TotalDistance>1817.1093378525013</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-03 18:51:02.000,816807
14235,927093067,1088217018,4V4MC9EH5CN542671,J1939,Trip Start,2086,On Route,2019-01-03 18:50:56.017,44.378868103027294,-79.7163391113281,"<JBus ReportType=""Trip Start"" DeviceSerial=""1088217018"" MsgNum=""2086"" TripState=""On Route"" VIN=""4V4MC9EH5CN542671"" Latitude=""44.37887"" Longitude=""-79.71634""><JBusData><Course>165.6</Course><SourceAddress>23</SourceAddress><TotalDistanceInMiles>221821</TotalDistanceInMiles><Speed>1.609</Speed><EngineSpeed>593</EngineSpeed><EngineLoad>35</EngineLoad><TotalFuelUsed>137752</TotalFuelUsed><EngineOnTime>23</EngineOnTime><IdleTime>13</IdleTime><FuelLevPrimary>64</FuelLevPrimary><TotalEngineHours>176906</TotalEngineHours><PBrkState>0</PBrkState><IdleTimeSinceEngOn>23</IdleTimeSinceEngOn></JBusData></JBus>",,0,2019-01-03 18:51:04.000,816807
14261,927094153,1088217018,,GPS,TimeExpired1,4594,,2019-01-03 18:51:54.280,44.3786201477051,-79.7156448364258,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""4594"" TripState=""N/A"" VIN="""" Latitude=""44.37862"" Longitude=""-79.71564""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>19.3</Course><GPSMessageNumber /><Speed>3.3354001512527467</Speed><CollectionTimestamp>2019-01-03T18:52:02</CollectionTimestamp><TotalDistance>1817.2218090489021</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-03 18:52:02.000,816807
14265,927095242,1088217018,,GPS,TimeExpired1,4595,,2019-01-03 18:52:54.127,44.3791656494141,-79.7165145874023,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""4595"" TripState=""N/A"" VIN="""" Latitude=""44.37917"" Longitude=""-79.71651""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>147.6</Course><GPSMessageNumber /><Speed>10.562099967479705</Speed><CollectionTimestamp>2019-01-03T18:53:02</CollectionTimestamp><TotalDistance>1817.4138330427575</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-03 18:53:02.000,816807
14268,927096057,1088217018,,J1939,Trip End,2087,Engine Off,2019-01-03 18:53:31.173,44.378902435302706,-79.71629333496091,"<JBus ReportType=""Trip End"" DeviceSerial=""1088217018"" MsgNum=""2087"" TripState=""Engine Off"" VIN="""" Latitude=""44.3789"" Longitude=""-79.71629""><JBusData><Course>148.4</Course><SourceAddress>23</SourceAddress><TotalDistanceInMiles>221821</TotalDistanceInMiles><Speed>0</Speed><EngineSpeed>0</EngineSpeed><EngineLoad>0</EngineLoad><TotalFuelUsed>137752</TotalFuelUsed><EngineOnTime>173</EngineOnTime><IdleTime>29</IdleTime><FuelLevPrimary>63</FuelLevPrimary><TotalEngineHours>177060</TotalEngineHours><PBrkState>1</PBrkState><IdleTimeSinceEngOn>41</IdleTimeSinceEngOn></JBusData></JBus>",,0,2019-01-03 18:53:39.000,816807
14271,927096568,1088217018,,GPS,TimeExpired1,4596,,2019-01-03 18:53:54.030,44.378902435302706,-79.71630859375,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""4596"" TripState=""N/A"" VIN="""" Latitude=""44.3789"" Longitude=""-79.71631""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>148.4</Course><GPSMessageNumber /><Speed>0.18529999774694442</Speed><CollectionTimestamp>2019-01-03T18:54:02</CollectionTimestamp><TotalDistance>1817.4473610416844</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-03 18:54:02.000,816807
14276,927097666,1088217018,,GPS,TimeExpired1,4597,,2019-01-03 18:54:54.140,44.37890625,-79.7163162231445,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""4597"" TripState=""N/A"" VIN="""" Latitude=""44.37891"" Longitude=""-79.71632""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>158</Course><GPSMessageNumber /><Speed>0.18529999774694442</Speed><CollectionTimestamp>2019-01-03T18:55:02</CollectionTimestamp><TotalDistance>1817.4485802416455</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-03 18:55:02.000,816807
14304,927098723,1088217018,,GPS,TimeExpired1,4598,,2019-01-03 18:55:54.077,44.3788948059082,-79.71632385253909,"<GPSData ReportType=""TimeExpired1"" DeviceSerial=""1088217018"" MsgNum=""4598"" TripState=""N/A"" VIN="""" Latitude=""44.37889"" Longitude=""-79.71632""><GPS><ATModeVibrationsState>NormalMode</ATModeVibrationsState><Course>158</Course><GPSMessageNumber /><Speed>0.18529999774694442</Speed><CollectionTimestamp>2019-01-03T18:56:02</CollectionTimestamp><TotalDistance>1817.4504090415871</TotalDistance><A2D>-1</A2D><GpsType>ShortNewFormat</GpsType></GPS></GPSData>",,0,2019-01-03 18:56:02.000,816807
